Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_STORE,Chrome 113.0.0.0,,,2023-05-27 15:31:09,2023-05-27 15:31:37,28.069s,PASSED
,,,,,,,
Test Cases/Test_Web/Login,Chrome 113.0.0.0,,,2023-05-27 15:31:09,2023-05-27 15:31:24,14.557s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 15:31:09,2023-05-27 15:31:12,2.359s,PASSED
customMethod_Store.Login_Store.loginStore(),Chrome 113.0.0.0,,,2023-05-27 15:31:12,2023-05-27 15:31:24,11.862s,PASSED
,,,,,,,
Test Cases/Test_Web/Search,Chrome 113.0.0.0,,,2023-05-27 15:31:24,2023-05-27 15:31:30,6.492s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 15:31:24,2023-05-27 15:31:25,1.235s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 113.0.0.0,,,2023-05-27 15:31:25,2023-05-27 15:31:27,1.942s,PASSED
"setText(findTestObject(""Object Repository/Object_Store/Search_Store/input_C hi vic lm_header__search-text""), ""quần"")",Chrome 113.0.0.0,,,2023-05-27 15:31:27,2023-05-27 15:31:29,1.461s,PASSED
"click(findTestObject(""Object Repository/Object_Store/Search_Store/a_Qun short nam ORENO ty u vi chng nhn chng_9dc427""))",Chrome 113.0.0.0,,,2023-05-27 15:31:29,2023-05-27 15:31:29,0.505s,PASSED
"click(findTestObject(""Object Repository/Object_Store/Search_Store/button_Qun short nam ngn ha tit Dri Fit 100_ca07b2""))",Chrome 113.0.0.0,,,2023-05-27 15:31:29,2023-05-27 15:31:30,0.394s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 15:31:30,2023-05-27 15:31:30,0.665s,PASSED
,,,,,,,
Test Cases/Test_Web/Sign,Chrome 113.0.0.0,,,2023-05-27 15:31:30,2023-05-27 15:31:37,6.738s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 15:31:30,2023-05-27 15:31:32,1.234s,PASSED
"navigateToUrl(""http://localhost:3000/account/register"")",Chrome 113.0.0.0,,,2023-05-27 15:31:32,2023-05-27 15:31:33,1.776s,PASSED
"setText(findTestObject(""Object Repository/Object_Store/Sign_Store/input_Tn_name""), ""Ten12"")",Chrome 113.0.0.0,,,2023-05-27 15:31:33,2023-05-27 15:31:35,1.366s,PASSED
"setText(findTestObject(""Object Repository/Object_Store/Sign_Store/input_Email_email""), ""ten@gmail.com"")",Chrome 113.0.0.0,,,2023-05-27 15:31:35,2023-05-27 15:31:36,0.725s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Object_Store/Sign_Store/input_Mt khu_password""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 113.0.0.0,,,2023-05-27 15:31:36,2023-05-27 15:31:36,0.402s,PASSED
"click(findTestObject(""Object Repository/Object_Store/Sign_Store/button_ng k""))",Chrome 113.0.0.0,,,2023-05-27 15:31:36,2023-05-27 15:31:36,0.376s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 15:31:36,2023-05-27 15:31:37,0.650s,PASSED
